1.71,4.67,42.81,90.48
-0.55,4.11,23.06,-67.3
0.41,0.67,104.8,82.79
0.24,3.25,31.84,1.67
1.61,0.81,-44.66,122.27
0.36,0.85,99.9,81.75
1.71,3.05,-9.32,30.23
0.92,4.92,101.79,44.84
-0.35,3.78,28.06,-45.13
0.75,1.45,30.56,103.09
0.7,0.36,92.66,103.38
1.26,2.97,0.79,33.16
-0.06,5.51,122.83,-45.86
0.18,4.77,97.56,-38.06
0.15,4.45,78.87,-41.8
0.43,4.45,87.35,-18.38
1.74,0.87,-61.89,112.65
-0.68,4.52,24.75,-89.44
1.49,4.5,59.59,69.82
1.0,4.68,91.76,41.17
0.53,2.06,27.36,72.3
-0.72,1.23,112.66,-29.86
1.06,5.46,95.51,87.93
1.07,1.01,14.48,123.46
0.52,3.02,23.94,21.39
1.46,1.7,-45.48,84.46
0.13,1.17,99.99,64.14
-0.52,0.13,125.5,-63.64
1.0,0.11,70.92,121.63
-0.42,3.29,25.54,-20.31
-0.58,1.18,117.33,-16.07
1.12,4.23,70.21,33.22
1.61,4.33,48.42,67.43
-0.74,3.66,9.85,-45.9
0.54,5.05,116.07,9.07
0.98,5.16,102.34,63.57
0.47,3.45,37.51,0.33
0.71,5.12,114.67,31.98
1.11,4.54,82.58,44.49
1.36,2.42,-26.17,51.32
0.09,4.33,69.8,-44.94
-0.14,1.2,112.05,35.98
0.05,2.27,48.43,44.57
1.47,3.75,35.39,37.5
-0.4,2.55,49.11,12.54
1.24,1.42,-20.81,106.81
-0.18,2.03,69.45,37.47
-0.06,5.01,98.79,-58.61
-0.61,1.57,102.03,-4.21
0.73,4.46,89.37,8.51
-0.2,4.97,87.45,-71.99
0.25,0.39,127.44,54.12
0.56,5.18,119.95,17.25
-0.45,0.4,132.37,-40.16
1.08,2.15,-14.25,70.99
0.31,2.55,29.07,41.52
0.15,2.77,31.38,24.94
-0.26,0.93,126.22,12.05
0.68,4.42,87.66,3.16
-0.35,5.53,105.58,-78.58
0.82,1.06,41.93,115.27
0.99,2.71,0.54,42.76
-0.47,3.42,22.68,-28.47
0.09,5.41,124.63,-31.08
1.32,3.34,18.46,28.38
0.62,5.65,124.99,49.24
0.79,1.76,14.88,91.76
0.63,5.48,123.67,41.19
-0.57,5.85,101.97,-92.78
0.35,5.11,118.18,-10.84
0.65,4.22,77.1,-2.27
-0.76,3.67,8.8,-46.62
-0.71,5.86,88.53,-105.87
-0.56,2.05,77.3,9.14
1.19,2.61,-11.54,46.19
0.84,5.49,112.34,66.61
1.23,3.26,16.61,27.41
1.09,3.16,15.24,27.03
1.4,2.53,-24.16,45.74
-0.37,4.78,63.8,-83.6
-0.11,1.2,110.92,39.32
-0.4,4.82,63.36,-86.16
-0.07,4.26,58.35,-53.68
1.24,2.36,-21.39,57.0
-0.1,0.62,133.3,18.74
0.03,0.4,135.95,25.51
0.25,6.24,137.15,32.57
1.56,4.78,55.84,89.12
1.66,0.77,-49.31,121.58
-0.54,4.18,25.45,-70.51
-0.0,4.92,97.34,-53.82
1.64,1.79,-58.68,70.15
1.53,2.39,-35.65,47.31
1.66,0.92,-54.21,114.95
0.81,3.44,34.76,13.06
-0.57,0.55,127.39,-47.51
0.05,0.22,138.9,18.97
0.47,4.02,64.54,-14.7
0.84,5.81,108.74,83.76
0.07,2.01,58.98,54.04
1.37,1.44,-34.85,102.18
0.12,5.49,128.38,-24.0
-0.18,2.0,71.05,37.9
-0.06,2.21,55.74,40.87
0.65,3.7,48.97,0.62
1.59,1.24,-54.0,102.85
1.29,1.86,-31.17,82.17
1.63,1.63,-59.7,79.35
1.26,2.57,-16.17,46.94
-0.2,3.74,33.59,-38.42
1.32,4.7,74.45,69.0
1.04,6.18,76.11,118.48
0.79,4.48,89.63,14.42
0.93,4.15,71.18,17.61
0.86,0.32,77.06,116.03
0.84,2.25,2.47,66.88
0.45,1.68,48.26,84.03
0.07,6.16,140.71,3.09
0.32,4.03,62.14,-24.38
0.1,2.44,40.23,39.71
-0.18,4.8,79.54,-70.16
0.61,5.24,120.41,26.18
0.32,2.55,28.65,41.81
1.0,1.2,14.1,116.83
-0.43,2.99,32.21,-5.64
0.76,1.48,28.22,102.38
0.4,0.31,120.92,69.34
-0.3,0.98,124.93,9.17
0.25,4.91,107.13,-28.3
-0.23,5.23,99.34,-72.35
-0.38,2.06,73.87,22.77
0.96,1.08,24.45,119.51
1.23,6.24,49.35,132.05
0.09,1.71,73.16,61.29
1.56,1.23,-50.71,104.94
-0.39,1.22,116.66,7.89
1.5,0.71,-26.73,129.93
-0.39,5.11,79.96,-87.69
0.08,2.21,49.49,48.25
-0.43,3.47,23.45,-30.27
1.22,3.41,25.03,25.95
1.5,5.51,47.18,122.33
-0.45,1.3,113.74,3.91
-0.21,4.48,60.57,-67.63
-0.78,1.73,93.13,-15.74
-0.73,1.54,102.01,-17.51
1.5,5.97,26.69,136.78
-0.41,3.6,23.94,-36.94
-0.53,3.11,27.65,-14.19
0.2,1.67,68.07,69.64
-0.18,0.3,139.22,-8.81
-0.34,0.94,126.47,2.38
1.42,6.22,24.6,138.77
1.0,2.23,-8.32,67.51
0.89,0.49,64.56,120.83
0.07,5.85,137.2,-13.52
0.5,2.08,28.92,70.52
0.0,2.26,51.02,42.45
1.33,5.82,56.11,125.44
-0.22,5.15,95.8,-72.47
-0.7,0.8,120.5,-49.91
1.42,2.92,-7.09,33.79
1.21,0.89,2.59,127.94
-0.53,5.65,96.0,-93.97
1.37,1.67,-37.56,89.85
1.22,3.59,34.91,26.02
0.52,0.4,107.95,86.49
0.5,2.54,20.76,46.81
0.27,2.97,28.15,17.54
1.46,5.28,58.87,109.73
-0.14,6.04,136.17,-32.56
0.8,5.36,114.5,54.93
1.45,4.88,65.3,87.95
1.04,0.5,45.23,129.14
1.02,2.83,3.24,37.5
0.65,5.33,120.95,35.63
-0.38,4.24,38.46,-68.1
1.15,2.92,2.18,34.46
-0.72,5.05,44.13,-107.73
-0.2,0.09,138.95,-23.12
0.58,2.04,24.25,74.53
1.24,2.06,-26.38,72.66
1.69,2.33,-45.34,43.05
-0.41,2.27,63.19,18.44
1.45,6.04,29.94,136.77
0.09,0.72,123.57,47.57
-0.72,3.62,11.25,-43.55
0.52,0.62,97.6,92.71
1.05,4.55,85.45,39.88
